id,filename,relative_path,width,height,orientation,aspect_ratio,file_size_bytes,blur_score,is_blurry,brightness,exposure_status,file_integrity,technical_status
001,IMG_8067.JPG,AESTHETIC/IMG_8067.JPG,1920,1280,LANDSCAPE,1.5,858346,204,NO,147,NORMAL,OK,OK
002,IMG_8068.JPG,AESTHETIC/IMG_8068.JPG,1920,1280,LANDSCAPE,1.5,1738014,484,NO,19,UNDEREXPOSED,OK,NEEDS_REVIEW
003,IMG_8071.JPG,AESTHETIC/IMG_8071.JPG,1920,1280,LANDSCAPE,1.5,1425485,416,NO,246,OVEREXPOSED,OK,NEEDS_REVIEW
004,IMG_8113.JPG,AESTHETIC/IMG_8113.JPG,1920,1280,LANDSCAPE,1.5,846692,431,NO,125,NORMAL,OK,OK
005,IMG_8121.JPG,AESTHETIC/IMG_8121.JPG,1920,1280,LANDSCAPE,1.5,738792,443,NO,9,UNDEREXPOSED,OK,NEEDS_REVIEW
006,IMG_7822.JPG,GORO/IMG_7822.JPG,6000,4000,LANDSCAPE,1.5,8459561,422,NO,59,NORMAL,OK,OK
007,IMG_7828.JPG,GORO/IMG_7828.JPG,1920,1280,LANDSCAPE,1.5,1178278,462,NO,92,NORMAL,OK,OK
008,IMG_8083.JPG,GORO/SORE/IMG_8083.JPG,1920,1280,LANDSCAPE,1.5,983909,436,NO,88,NORMAL,OK,OK
009,IMG_8084.JPG,GORO/SORE/IMG_8084.JPG,1920,1280,LANDSCAPE,1.5,1572113,326,NO,157,NORMAL,OK,OK
010,IMG_8086.JPG,GORO/SORE/IMG_8086.JPG,1920,1280,LANDSCAPE,1.5,922107,253,NO,217,NORMAL,OK,OK
011,IMG_8087.JPG,GORO/SORE/IMG_8087.JPG,1920,1280,LANDSCAPE,1.5,918676,60,YES,91,NORMAL,OK,NEEDS_REVIEW
012,IMG_8088.JPG,GORO/SORE/IMG_8088.JPG,1920,1280,LANDSCAPE,1.5,760136,442,NO,136,NORMAL,OK,OK
013,IMG_8090.JPG,GORO/SORE/IMG_8090.JPG,1920,1280,LANDSCAPE,1.5,1196578,216,NO,57,NORMAL,OK,OK
014,IMG_8091.JPG,GORO/SORE/IMG_8091.JPG,1920,1280,LANDSCAPE,1.5,1236786,497,NO,174,NORMAL,OK,OK
015,IMG_8093.JPG,GORO/SORE/IMG_8093.JPG,1920,1280,LANDSCAPE,1.5,1866332,114,NO,204,NORMAL,OK,OK
016,IMG_8094.JPG,GORO/SORE/IMG_8094.JPG,1920,1280,LANDSCAPE,1.5,1110585,485,NO,145,NORMAL,OK,OK
017,IMG_8095.JPG,GORO/SORE/IMG_8095.JPG,1920,1280,LANDSCAPE,1.5,821005,194,NO,12,UNDEREXPOSED,OK,NEEDS_REVIEW
018,IMG_8097.JPG,GORO/SORE/IMG_8097.JPG,1920,1280,LANDSCAPE,1.5,819928,176,NO,145,NORMAL,OK,OK
019,IMG_8101.JPG,GORO/SORE/IMG_8101.JPG,1920,1280,LANDSCAPE,1.5,1417564,259,NO,77,NORMAL,OK,OK
020,IMG_8104.JPG,GORO/SORE/IMG_8104.JPG,1920,1280,LANDSCAPE,1.5,1230466,440,NO,130,NORMAL,OK,OK
021,IMG_8108.JPG,GORO/SORE/IMG_8108.JPG,1920,1280,LANDSCAPE,1.5,993338,56,YES,55,NORMAL,OK,NEEDS_REVIEW
022,IMG_8109.JPG,GORO/SORE/IMG_8109.JPG,1920,1280,LANDSCAPE,1.5,1037221,444,NO,94,NORMAL,OK,OK
023,IMG_8111.JPG,GORO/SORE/IMG_8111.JPG,1920,1280,LANDSCAPE,1.5,807979,187,NO,233,OVEREXPOSED,OK,NEEDS_REVIEW
024,IMG_8115.JPG,GORO/SORE/IMG_8115.JPG,1920,1280,LANDSCAPE,1.5,1023230,9,YES,12,UNDEREXPOSED,OK,NEEDS_REVIEW
025,IMG_8119.JPG,GORO/SORE/IMG_8119.JPG,1920,1280,LANDSCAPE,1.5,1653298,429,NO,205,NORMAL,OK,OK
026,IMG_8122.JPG,GORO/SORE/IMG_8122.JPG,1920,1280,LANDSCAPE,1.5,889003,27,YES,198,NORMAL,OK,NEEDS_REVIEW
027,IMG_7844.JPG,KKN RA AL KAUTSAR/IMG_7844.JPG,1920,1280,LANDSCAPE,1.5,816847,70,YES,124,NORMAL,OK,NEEDS_REVIEW
028,IMG_7847.JPG,KKN RA AL KAUTSAR/IMG_7847.JPG,1920,1280,LANDSCAPE,1.5,1282043,201,NO,79,NORMAL,OK,OK
029,IMG_7852.JPG,KKN RA AL KAUTSAR/IMG_7852.JPG,1920,1280,LANDSCAPE,1.5,1090849,325,NO,119,NORMAL,OK,OK
030,IMG_7855.JPG,KKN RA AL KAUTSAR/IMG_7855.JPG,1920,1280,LANDSCAPE,1.5,1572377,499,NO,232,OVEREXPOSED,OK,NEEDS_REVIEW
031,IMG_7856.JPG,KKN RA AL KAUTSAR/IMG_7856.JPG,1920,1280,LANDSCAPE,1.5,1514016,341,NO,146,NORMAL,OK,OK
032,IMG_7859.JPG,KKN RA AL KAUTSAR/IMG_7859.JPG,1920,1280,LANDSCAPE,1.5,1527634,321,NO,193,NORMAL,OK,OK
033,IMG_7860.JPG,KKN RA AL KAUTSAR/IMG_7860.JPG,1920,1280,LANDSCAPE,1.5,1406458,92,YES,166,NORMAL,OK,NEEDS_REVIEW
034,IMG_7863.JPG,KKN RA AL KAUTSAR/IMG_7863.JPG,1920,1280,LANDSCAPE,1.5,1451732,384,NO,3,UNDEREXPOSED,OK,NEEDS_REVIEW
